TOP 500 MOST COMMON DECRYPTED STRINGS
================================================================================

  1. [1011x] Open
  2. [ 523x] Wear
  3. [ 512x] Drink
  4. [ 485x] Attack
  5. [ 461x] Eat
  6. [ 449x] Earth rune
  7. [ 434x] Air rune
  8. [ 433x] Water rune
  9. [ 428x] Handling banking
 10. [ 409x] Search
 11. [ 328x] Wield
 12. [ 320x] Door
 13. [ 319x] Take
 14. [ 315x] Climb-down
 15. [ 308x] Nav to start
 16. [ 298x] ring of wealth (
 17. [ 276x] We are missing quest supplies, switching to BUYING
 18. [ 266x] We are missing supplies, switching to BUYING
 19. [ 248x] 
 20. [ 230x] Buying items
 21. [ 222x] Drop
 22. [ 216x] Nav to bank
 23. [ 215x] Jump
 24. [ 215x] Yes.
 25. [ 212x] Gap
 26. [ 206x] Navigating to bank
 27. [ 182x] Break
 28. [ 182x] Climb-up
 29. [ 172x] Finished buying items, switching back to quest
 30. [ 154x] Ladder
 31. [ 145x] Shark
 32. [ 136x] Glarial's amulet
 33. [ 136x] Glarial's urn
 34. [ 129x] Talk-to
 35. [ 128x] Climb
 36. [ 126x] Enter
 37. [ 124x] Trapdoor
 38. [ 114x] dueling
 39. [ 105x] Cross
 40. [  98x] Opening bank
 41. [  95x] Wall
 42. [  94x] Vial
 43. [  92x] Veliaf Hurtz
 44. [  89x] seed
 45. [  88x] Stairs
 46. [  86x] Bank
 47. [  81x] Pull
 48. [  80x] Move to door
 49. [  76x]  
 50. [  75x] Leap
 51. [  75x] Filliman Tarlock
 52. [  74x] Cow
 53. [  72x] Pull lever
 54. [  70x] Equip
 55. [  68x] Found mark on ground
 56. [  68x] passage
 57. [  68x] Port Piscarilius
 58. [  67x] Dig
 59. [  66x] Use
 60. [  65x] Starting quest
 61. [  63x] Ithoi the Navigator
 62. [  63x] Climb-over
 63. [  62x] Empty
 64. [  59x] wealth
 65. [  58x] Yes
 66. [  58x] Veos
 67. [  58x] Drezel
 68. [  57x] Plank
 69. [  57x] Spade
 70. [  56x] glory
 71. [  56x] Magic door
 72. [  54x] Bones
 73. [  54x] Chest
 74. [  51x] Mark of grace
 75. [  51x] Taking mark
 76. [  51x] Starting course
 77. [  51x] Jumping gap 3
 78. [  51x] Large door
 79. [  50x] Close
 80. [  50x] Nav to cows
 81. [  50x] Attacking cows
 82. [  50x] Rope
 83. [  49x] Mine
 84. [  49x] Logs
 85. [  49x] Wizard Statue
 86. [  48x] Using runes
 87. [  48x] Small fishing net
 88. [  46x] Read
 89. [  45x] Feather
 90. [  44x] teleport
 91. [  44x] Gate
 92. [  44x] Push
 93. [  44x] Staircase
 94. [  44x] Earth Strike
 95. [  42x] Iron key
 96. [  42x] Antique lamp
 97. [  42x] Tithe patch
 98. [  41x] Stamina
 99. [  41x] Games
100. [  41x] Iron scimitar
101. [  41x] Steel scimitar
102. [  41x] Mithril scimitar
103. [  40x] Prayer
104. [  40x] Cook
105. [  40x] Chop down
106. [  40x] Nav to boat
107. [  40x] Inspect
108. [  40x] Key
109. [  39x] Rub
110. [  38x] Hammer
111. [  38x] cow
112. [  38x] Continue
113. [  38x] Dropping logs
